edge_id,source,source_label,source_type,target,target_label,target_type,predicate,layer,assertion_count,source_count,source_ids,population,care_setting
edge:e39453afaedd,concept:daa4e10d4f1f,Peritoneal dialysis,clinical_concept,concept:3f02509e7e1a,Acute kidney injury,clinical_concept,Management or intervention,empirical_assertion,14,13,PMID:24497593;PMID:25345767;PMID:26432705;PMID:28676510;PMID:29124521;PMID:33272115;PMID:33334465;PMID:38768514;PMID:38947616;PMID:39211716;PMID:39306663;PMID:39887079;PMID:41886184,Neonatal;Non-neonatal pediatric;Not specified;Pediatric age unclear,General inpatient;Kidney replacement therapy;Not specified;PICU
edge:2151f22f3e69,concept:0b6baed8ee51,neonates,clinical_concept,setting:60f1e913db61,Not specified,care_setting,Observed in care setting,care_setting_context,13,0,,,
edge:42d99a6385ff,concept:29166f0942dc,fluid overload,clinical_concept,setting:60f1e913db61,Not specified,care_setting,Observed in care setting,care_setting_context,13,0,,,
edge:5cf29713c6f8,concept:4a168b54caad,postoperative AKI,clinical_concept,relation:a62d286204b7,Risk factor,relation,Participates in relation,relation_context,13,0,,,
edge:934ce493a00d,concept:90eace7f13ff,Kidney replacement therapy,clinical_concept,population:a6dd3918708d,Neonatal,population,Observed in population,population_context,13,0,,,
edge:a5ffca83c329,concept:04a3a8cdc90f,Cardiac surgery,clinical_concept,population:0fd3b2c23bfc,Pediatric age unclear,population,Observed in population,population_context,13,0,,,
edge:b2befb583a84,concept:2061ae4227c6,contrast-induced acute kidney injury,clinical_concept,setting:60f1e913db61,Not specified,care_setting,Observed in care setting,care_setting_context,13,0,,,
edge:dd48885ef574,concept:5968f4edfd74,CS-AKI,clinical_concept,relation:d3f0610632bb,Outcome,relation,Participates in relation,relation_context,13,0,,,
edge:ed6394589c54,concept:42b89a6b7380,vancomycin,clinical_concept,relation:1948b8a73d1c,Association,relation,Participates in relation,relation_context,13,0,,,
edge:1f6a57dcaee7,concept:7a4eb8dff375,infant,clinical_concept,population:a6dd3918708d,Neonatal,population,Observed in population,population_context,12,0,,,
edge:20ea3932fa1c,concept:29166f0942dc,fluid overload,clinical_concept,population:a0247bcb3f69,Non-neonatal pediatric,population,Observed in population,population_context,12,0,,,
edge:56d9c60563ca,concept:989fe9aa79c0,NGAL,clinical_concept,relation:fdd437d370c4,Diagnosis or staging,relation,Participates in relation,relation_context,12,0,,,
edge:681048ccff07,concept:faa0eb06e45f,MIS-C,clinical_concept,population:a0247bcb3f69,Non-neonatal pediatric,population,Observed in population,population_context,12,0,,,
edge:8d71b5279d63,concept:66db9e71f7f8,Continuous kidney replacement therapy,clinical_concept,population:a6dd3918708d,Neonatal,population,Observed in population,population_context,12,0,,,
edge:998ec9dcaaef,concept:3f02509e7e1a,Acute kidney injury,clinical_concept,concept:9462d97142c0,Chronic kidney disease,clinical_concept,Association,empirical_assertion,12,11,PMID:25578815;PMID:25963934;PMID:26535996;PMID:27723726;PMID:29389682;PMID:31214463;PMID:32371839;PMID:32948644;PMID:33614729;PMID:35399095;PMID:40870964,Neonatal;Non-neonatal pediatric;Not specified;Pediatric age unclear,Cardiac surgery;General inpatient;Not specified;Oncology or transplant
edge:9fa96e76f1f7,concept:04a3a8cdc90f,Cardiac surgery,clinical_concept,population:60f1e913db61,Not specified,population,Observed in population,population_context,12,0,,,
edge:a719ff9756ff,concept:6a523a52b63c,Diabetic ketoacidosis,clinical_concept,population:a0247bcb3f69,Non-neonatal pediatric,population,Observed in population,population_context,12,0,,,
edge:b2d5690429f3,concept:156be6eb85c9,HUS,clinical_concept,relation:1948b8a73d1c,Association,relation,Participates in relation,relation_context,12,0,,,
edge:c8a63655603f,concept:1cc152716766,severe AKI,clinical_concept,relation:837276742aa9,Prediction,relation,Participates in relation,relation_context,12,0,,,
edge:c9cf383c830d,concept:eb6330a5cf69,Hemolytic uremic syndrome,clinical_concept,concept:3f02509e7e1a,Acute kidney injury,clinical_concept,Association,empirical_assertion,12,11,PMID:30989342;PMID:32844761;PMID:33386505;PMID:34255589;PMID:35110108;PMID:39211716;PMID:39507498;PMID:40065282;PMID:41018461;PMID:41281162;PMID:41953852,Explicitly non-pediatric;Non-neonatal pediatric;Pediatric age unclear,Not specified
edge:d8dd61d678cf,concept:42b89a6b7380,vancomycin,clinical_concept,population:a0247bcb3f69,Non-neonatal pediatric,population,Observed in population,population_context,12,0,,,
