source_database,target_database,model,endpoint,n,event_rate,auroc,average_precision,brier,ece_10bin,calibration_intercept,calibration_slope,source_selected_threshold,sensitivity,specificity,ppv,npv,semantic_auroc,semantic_average_precision,delta_auroc_vs_semantic
MIMIC-IV,eICU,kdigo_lookup,icu_death,18774,0.07750079897730905,0.5445537140248211,0.0844861376661308,0.0717420513342578,0.011728008314470613,-1.1378454302528234,0.5735482149928487,0.08654013514223706,0.9051546391752577,0.1973555055141752,0.08654225259561046,0.9611923509561305,0.6621519698386592,0.1749175161745453,-0.11759825581383809
MIMIC-IV,eICU,state_logistic,next_aki_progression,18776,0.10827652322113336,0.7236223320997015,0.20207573753946126,0.09106249473881237,0.015470085662012288,0.41437848927269505,1.1557328968068994,0.1274210247397423,0.661091982292179,0.6439706145851998,0.1839835728952772,0.9399354894952489,0.5102371228313429,0.1124962736099148,0.21338520926835858
MIMIC-IV,eICU,state_logistic,next_aki_stage2_onset,12432,0.15717503217503218,0.5863131515210599,0.2045354825927952,0.13125591188075544,0.01979500661092299,0.5161593466629646,1.2369437125171563,0.16955165445804596,0.2789150460593654,0.8246802824966597,0.22879932829554997,0.8598009950248756,,,
MIMIC-IV,eICU,state_logistic,next_aki_stage3_onset,15989,0.010319594721370942,0.6753266997579435,0.03221028948957171,0.010146669932524636,0.004802141503695392,-2.0099651199089092,0.4623702153794186,0.007605259139090784,0.5333333333333333,0.776036400404449,0.024229074889867842,0.9937687140891802,,,
MIMIC-IV,eICU,state_logistic,hospital_death,18776,0.12457392415850022,0.7329628358298517,0.3474670705642688,0.09648060064092612,0.014861774372121836,0.053868176161400015,0.9406764628365646,0.1122318921983242,0.589140658401026,0.748494250775689,0.25,0.9275482509047045,0.6611127675408167,0.2398117856732932,0.07185006828903495
MIMIC-IV,eICU,state_logistic,icu_death,18774,0.07750079897730905,0.7683936895478002,0.3164498791910706,0.06219995367072888,0.007626277841998659,-0.023843961732081382,0.932634347875458,0.10975804388523103,0.5195876288659794,0.8662162942433166,0.2460136674259681,0.9554805426405961,0.6621519698386592,0.1749175161745453,0.10624171970914098
MIMIC-IV,eICU,state_xgboost,next_aki_progression,18776,0.10827652322113336,0.7379638785106954,0.21772073168213077,0.09042810614416939,0.015928689537787734,0.39929907619879307,1.1366702055833227,0.14001298248767854,0.6045253320216429,0.7133130263393657,0.20384806767291425,0.9369263356083785,0.5102371228313429,0.1124962736099148,0.22772675567935252
MIMIC-IV,eICU,state_xgboost,next_aki_stage2_onset,12432,0.15717503217503218,0.6139110888476572,0.2205427327177253,0.13016511254260568,0.01828179403868632,0.3055911416641043,1.096600919135287,0.16519103646278382,0.4227226202661208,0.7365909524718458,0.23034021193530396,0.8724847388650238,,,
MIMIC-IV,eICU,state_xgboost,next_aki_stage3_onset,15989,0.010319594721370942,0.6126507108496492,0.023907570294998542,0.0101912749472568,0.004604551811708142,-1.7552968220284304,0.5288277021622251,0.008906408809125427,0.3515151515151515,0.8437815975733064,0.02292490118577075,0.9920499294152612,,,
MIMIC-IV,eICU,state_xgboost,hospital_death,18776,0.12457392415850022,0.7759188743588662,0.4004738139614087,0.09218215014800285,0.008419779792204216,0.03604843533048427,0.9764775704362698,0.1194107908010483,0.6421547669944421,0.7613311431526434,0.2768663594470046,0.9373080668114748,0.6611127675408167,0.2398117856732932,0.11480610681804948
