source_database,target_database,model,endpoint,bin_mean_prediction,bin_event_rate,n
MIMIC-III,eICU,state_xgboost,next_aki_progression,0.027491665220500373,0.019179541822056473,1877
MIMIC-III,eICU,state_xgboost,next_aki_progression,0.05437186629639361,0.07294994675186368,1878
MIMIC-III,eICU,state_xgboost,next_aki_progression,0.10370374923858734,0.10175812466702185,1877
MIMIC-III,eICU,state_xgboost,next_aki_progression,0.13726265703479704,0.13791267305644303,1878
MIMIC-III,eICU,state_xgboost,next_aki_progression,0.16494062348414307,0.1523708044752264,1877
MIMIC-III,eICU,state_xgboost,next_aki_progression,0.18540274839019116,0.16613418530351437,1878
MIMIC-III,eICU,state_xgboost,next_aki_progression,0.20654123978660535,0.1928609483217901,1877
MIMIC-III,eICU,state_xgboost,next_aki_progression,0.2440398731710304,0.23003194888178913,1878
MIMIC-III,eICU,state_xgboost,next_aki_stage2_onset,0.09674522795765346,0.10530546623794212,1244
MIMIC-III,eICU,state_xgboost,next_aki_stage2_onset,0.12217259786465623,0.09493161705551086,1243
MIMIC-III,eICU,state_xgboost,next_aki_stage2_onset,0.1409558745540157,0.11102172164119067,1243
MIMIC-III,eICU,state_xgboost,next_aki_stage2_onset,0.15813361473938964,0.14561544650040226,1243
MIMIC-III,eICU,state_xgboost,next_aki_stage2_onset,0.17155127981355472,0.15446500402252614,1243
MIMIC-III,eICU,state_xgboost,next_aki_stage2_onset,0.18235331129999,0.16572807723250202,1243
MIMIC-III,eICU,state_xgboost,next_aki_stage2_onset,0.19247393118261044,0.18101367658889783,1243
MIMIC-III,eICU,state_xgboost,next_aki_stage2_onset,0.2027335690569705,0.17135961383748993,1243
MIMIC-III,eICU,state_xgboost,next_aki_stage2_onset,0.2151823052095005,0.19710378117457764,1243
MIMIC-III,eICU,state_xgboost,next_aki_stage2_onset,0.24127730933224656,0.24517684887459806,1244
MIMIC-III,eICU,state_xgboost,next_aki_stage3_onset,0.0009747490163349672,0.004377736085053158,1599
MIMIC-III,eICU,state_xgboost,next_aki_stage3_onset,0.0010824794248369678,0.008755472170106316,1599
MIMIC-III,eICU,state_xgboost,next_aki_stage3_onset,0.001241837640999443,0.010006253908692933,1599
MIMIC-III,eICU,state_xgboost,next_aki_stage3_onset,0.0014337710129782054,0.0068792995622263915,1599
MIMIC-III,eICU,state_xgboost,next_aki_stage3_onset,0.0016654029613351444,0.005628517823639775,1599
MIMIC-III,eICU,state_xgboost,next_aki_stage3_onset,0.0019858637424704567,0.008135168961201502,1598
MIMIC-III,eICU,state_xgboost,next_aki_stage3_onset,0.0024832753152100183,0.010006253908692933,1599
MIMIC-III,eICU,state_xgboost,next_aki_stage3_onset,0.00338868272745326,0.013758599124452783,1599
MIMIC-III,eICU,state_xgboost,next_aki_stage3_onset,0.0055116066904860855,0.010006253908692933,1599
MIMIC-III,eICU,state_xgboost,next_aki_stage3_onset,0.01387065794293287,0.02564102564102564,1599
MIMIC-III,eICU,state_xgboost,hospital_death,0.025140594465398212,0.025026624068157616,1878
MIMIC-III,eICU,state_xgboost,hospital_death,0.0367537132336404,0.03035143769968051,1878
MIMIC-III,eICU,state_xgboost,hospital_death,0.045087449117645534,0.047416089504528504,1877
MIMIC-III,eICU,state_xgboost,hospital_death,0.05479000290187276,0.04739084132055378,1878
MIMIC-III,eICU,state_xgboost,hospital_death,0.06723076995059284,0.08151305274374002,1877
MIMIC-III,eICU,state_xgboost,hospital_death,0.08281782468636069,0.08572949946751864,1878
MIMIC-III,eICU,state_xgboost,hospital_death,0.1067515635345931,0.1108151305274374,1877
MIMIC-III,eICU,state_xgboost,hospital_death,0.14599843886586678,0.15708200212992546,1878
MIMIC-III,eICU,state_xgboost,hospital_death,0.22968744232131244,0.2184336707511987,1877
MIMIC-III,eICU,state_xgboost,hospital_death,0.47653445512595904,0.44195953141640043,1878
MIMIC-III,eICU,state_xgboost,icu_death,0.01567362518768874,0.009538950715421303,1887
MIMIC-III,eICU,state_xgboost,icu_death,0.021697186304523552,0.018201284796573874,1868
MIMIC-III,eICU,state_xgboost,icu_death,0.025830335609444165,0.02557272242940863,1877
MIMIC-III,eICU,state_xgboost,icu_death,0.031141906889419334,0.025559105431309903,1878
MIMIC-III,eICU,state_xgboost,icu_death,0.03804310810140428,0.03942461374533831,1877
MIMIC-III,eICU,state_xgboost,icu_death,0.0477349412472215,0.04421949920085243,1877
MIMIC-III,eICU,state_xgboost,icu_death,0.06290961401110577,0.06602768903088392,1878
MIMIC-III,eICU,state_xgboost,icu_death,0.089904006782941,0.07831646244006393,1877
MIMIC-III,eICU,state_xgboost,icu_death,0.15501331769775442,0.12147043153969099,1877
MIMIC-III,eICU,state_xgboost,icu_death,0.38080018588973563,0.3466453674121406,1878
MIMIC-IV,MIMIC-III,kdigo_lookup,next_aki_progression,0.13955000339115484,0.1643624428088323,20108
MIMIC-IV,MIMIC-III,kdigo_lookup,next_aki_stage2_onset,0.15579879264607904,0.1842075767765075,17844
MIMIC-IV,MIMIC-III,kdigo_lookup,next_aki_stage3_onset,0.006205318448987724,0.004848109752952705,19389
MIMIC-IV,MIMIC-III,kdigo_lookup,hospital_death,0.12962467886580178,0.1343545309195936,19389
MIMIC-IV,MIMIC-III,kdigo_lookup,hospital_death,0.17377116714778926,0.12795549374130738,719
MIMIC-IV,MIMIC-III,kdigo_lookup,icu_death,0.08448906382827438,0.09567280416731136,19389
MIMIC-IV,MIMIC-III,kdigo_lookup,icu_death,0.13749398901148518,0.09457579972183588,719
MIMIC-IV,MIMIC-III,state_logistic,next_aki_progression,0.01946274978249954,0.007956240676280457,2011
MIMIC-IV,MIMIC-III,state_logistic,next_aki_progression,0.08210955944592119,0.09646941819990054,2011
MIMIC-IV,MIMIC-III,state_logistic,next_aki_progression,0.11479127499696806,0.1407260069617106,2011
MIMIC-IV,MIMIC-III,state_logistic,next_aki_progression,0.13182218851364075,0.1626865671641791,2010
MIMIC-IV,MIMIC-III,state_logistic,next_aki_progression,0.14610156917056297,0.1735454997513675,2011
MIMIC-IV,MIMIC-III,state_logistic,next_aki_progression,0.1583636102689433,0.17652909000497266,2011
MIMIC-IV,MIMIC-III,state_logistic,next_aki_progression,0.17022483451894266,0.20348258706467662,2010
MIMIC-IV,MIMIC-III,state_logistic,next_aki_progression,0.18258413682820962,0.21780208851317753,2011
