evaluation,source_database,target_database,model,endpoint,n,event_rate,auroc,average_precision,brier,ece_10bin,direction,endpoint_label
external,MIMIC-IV,eICU,demographic,icu_death,18774,0.077500798977309,0.5233568837355393,0.0817395321865034,0.0721145197749137,0.0207702223157157,M-IV → eICU,ICU death
external,MIMIC-IV,eICU,xgboost,next_aki_progression,18776,0.1082765232211333,0.5293519086420888,0.1161723797818228,0.2572202259024703,0.4002044168914004,M-IV → eICU,AKI progression
external,MIMIC-IV,eICU,xgboost,next_aki_stage2plus,18776,0.441947166595654,0.520066456081861,0.4570321956289219,0.2542465536720157,0.0886511842291253,M-IV → eICU,AKI stage 2+
external,MIMIC-IV,eICU,xgboost,next_aki_stage3,18776,0.1572219855134214,0.5502560045664917,0.1782916836901425,0.1903261264333162,0.2407631573934325,M-IV → eICU,AKI stage 3
external,MIMIC-IV,eICU,xgboost,hospital_death,18776,0.1245739241585002,0.5882774768850023,0.156459900643533,0.1832322349902667,0.2667971396700506,M-IV → eICU,Hospital death
external,MIMIC-IV,eICU,xgboost,icu_death,18774,0.077500798977309,0.5586846101326056,0.0900893389742245,0.167030281441578,0.302274929797883,M-IV → eICU,ICU death
external,MIMIC-IV,eICU,random_transformer,next_aki_progression,18776,0.1082765232211333,0.5292471449771361,0.1203157892041418,0.0967211499810218,0.0136660193797466,M-IV → eICU,AKI progression
external,MIMIC-IV,eICU,random_transformer,next_aki_stage2plus,18776,0.441947166595654,0.5225273847887327,0.4597405594182843,0.2603155970573425,0.1182174107014599,M-IV → eICU,AKI stage 2+
external,MIMIC-IV,eICU,random_transformer,next_aki_stage3,18776,0.1572219855134214,0.552406416379634,0.1779741150329425,0.1476383954286575,0.1243621112670055,M-IV → eICU,AKI stage 3
external,MIMIC-IV,eICU,random_transformer,hospital_death,18776,0.1245739241585002,0.5893688867567288,0.1586310096602976,0.1113039553165435,0.0570502991803564,M-IV → eICU,Hospital death
external,MIMIC-IV,eICU,random_transformer,icu_death,18774,0.077500798977309,0.558484960501636,0.0904856496751827,0.0727322250604629,0.0378498927836627,M-IV → eICU,ICU death
external,MIMIC-IV,eICU,semantic_transformer,next_aki_progression,18776,0.1082765232211333,0.5102371228313429,0.1124962736099148,0.0981130227446556,0.0311785449956801,M-IV → eICU,AKI progression
external,MIMIC-IV,eICU,semantic_transformer,next_aki_stage2plus,18776,0.441947166595654,0.5078288538171843,0.4616721474356455,0.2824073731899261,0.1869301422323331,M-IV → eICU,AKI stage 2+
external,MIMIC-IV,eICU,semantic_transformer,next_aki_stage3,18776,0.1572219855134214,0.5250586952754006,0.2226730955926339,0.1448772102594375,0.1239057310202532,M-IV → eICU,AKI stage 3
