source_database,target_database,model,endpoint,n,event_rate,auroc,average_precision,brier,ece_10bin,calibration_intercept,calibration_slope,source_selected_threshold,sensitivity,specificity,ppv,npv,direction,endpoint_label
MIMIC-IV,MIMIC-III,state_logistic,icu_death,20108,0.0956335786751541,0.7285865600145038,0.2911556652435313,0.0780904519782925,0.0127273728720038,-0.094810561741475,0.8709357955274689,0.109758043885231,0.5174206968278731,0.8149023920813857,0.2281586792020178,0.9410681399631676,M-IV → M-III,ICU death
MIMIC-IV,MIMIC-III,state_xgboost,next_aki_progression,20108,0.1643624428088323,0.6513778021952891,0.2402436377495315,0.1322654413688486,0.0231976845272601,0.426716097634203,1.1573810356132317,0.1400129824876785,0.7767019667170953,0.436648217580194,0.2133300091415274,0.9086068111455108,M-IV → M-III,AKI progression
MIMIC-IV,MIMIC-III,state_xgboost,next_aki_stage2_onset,17844,0.1842075767765075,0.6034967312386698,0.2448004178962975,0.1479957918887641,0.0251906954503195,0.5152912187167271,1.2104142444648904,0.1651910364627838,0.5850319440219045,0.5502507384763344,0.2270365997638725,0.8544911457222104,M-IV → M-III,Stage-2 onset
MIMIC-IV,MIMIC-III,state_xgboost,next_aki_stage3_onset,19389,0.0048481097529527,0.758454676274859,0.0777339107970031,0.0047098874417735,0.0014349258355195,0.4075602745867057,1.1345850894448146,0.0089064088091254,0.5,0.8590826639025654,0.0169920462762111,0.997172592191542,M-IV → M-III,Stage-3 onset
MIMIC-IV,MIMIC-III,state_xgboost,hospital_death,20108,0.1341257211060274,0.7529560634094679,0.3874825245683195,0.1003540891544282,0.0088744484429954,0.0211514555181557,0.993440627947499,0.1194107908010483,0.6599925843529848,0.6974326575153639,0.2525539160045403,0.9297856049004596,M-IV → M-III,Hospital death
MIMIC-IV,MIMIC-III,state_xgboost,icu_death,20108,0.0956335786751541,0.7843718378924874,0.356014532767451,0.0741635146456189,0.0124527018970041,0.1095674604724837,0.9738881929498784,0.0636241406202316,0.7384295371814873,0.6808358537255981,0.1965669988925802,0.9609593294008072,M-IV → M-III,ICU death
MIMIC-IV,eICU,kdigo_lookup,next_aki_progression,18776,0.1082765232211333,0.6708978730831385,0.1560082912935573,0.091863615367969,0.001370833512314,-0.0448077698969947,0.9668662334969206,0.1558340229409295,0.9611411706837186,0.3741862270799737,0.1571750321750321,0.987547288776797,M-IV → eICU,AKI progression
MIMIC-IV,eICU,kdigo_lookup,next_aki_stage2_onset,12432,0.1571750321750321,0.5,0.1571750321750321,0.1324729354710508,0.001376239528953,-0.4356946034165782,0.7362478417589714,0.155798792646079,1.0,0.0,0.1571750321750321,0.0,M-IV → eICU,Stage-2 onset
MIMIC-IV,eICU,kdigo_lookup,next_aki_stage3_onset,15989,0.0103195947213709,0.3705024205656157,0.0085464504721493,0.0102300325988439,0.0041143788190151,-0.1705389104612649,0.8656743961924918,0.0062046574702065,1.0,0.0,0.0103195947213709,0.0,M-IV → eICU,Stage-3 onset
MIMIC-IV,eICU,kdigo_lookup,hospital_death,18776,0.1245739241585002,0.5384846277037465,0.1336005428478765,0.108963618494519,0.0079873944228329,-0.4265461139168503,0.8102282453820028,0.1319946198185954,0.8909790508764429,0.2008882399464622,0.1369340955384716,0.9283103739105988,M-IV → eICU,Hospital death
MIMIC-IV,eICU,kdigo_lookup,icu_death,18774,0.077500798977309,0.5445537140248211,0.0844861376661308,0.0717420513342578,0.0117280083144706,-1.1378454302528234,0.5735482149928487,0.086540135142237,0.9051546391752576,0.1973555055141752,0.0865422525956104,0.9611923509561304,M-IV → eICU,ICU death
MIMIC-IV,eICU,state_logistic,next_aki_progression,18776,0.1082765232211333,0.7236223320997015,0.2020757375394612,0.0910624947388123,0.0154700856620122,0.414378489272695,1.1557328968068994,0.1274210247397423,0.661091982292179,0.6439706145851998,0.1839835728952772,0.9399354894952489,M-IV → eICU,AKI progression
MIMIC-IV,eICU,state_logistic,next_aki_stage2_onset,12432,0.1571750321750321,0.5863131515210599,0.2045354825927952,0.1312559118807554,0.0197950066109229,0.5161593466629646,1.2369437125171563,0.1695516544580459,0.2789150460593654,0.8246802824966597,0.2287993282955499,0.8598009950248756,M-IV → eICU,Stage-2 onset
MIMIC-IV,eICU,state_logistic,next_aki_stage3_onset,15989,0.0103195947213709,0.6753266997579435,0.0322102894895717,0.0101466699325246,0.0048021415036953,-2.009965119908909,0.4623702153794186,0.0076052591390907,0.5333333333333333,0.776036400404449,0.0242290748898678,0.9937687140891802,M-IV → eICU,Stage-3 onset
MIMIC-IV,eICU,state_logistic,hospital_death,18776,0.1245739241585002,0.7329628358298517,0.3474670705642688,0.0964806006409261,0.0148617743721218,0.0538681761614,0.9406764628365646,0.1122318921983242,0.589140658401026,0.748494250775689,0.25,0.9275482509047044,M-IV → eICU,Hospital death
MIMIC-IV,eICU,state_logistic,icu_death,18774,0.077500798977309,0.7683936895478002,0.3164498791910706,0.0621999536707288,0.0076262778419986,-0.0238439617320813,0.932634347875458,0.109758043885231,0.5195876288659794,0.8662162942433166,0.2460136674259681,0.955480542640596,M-IV → eICU,ICU death
MIMIC-IV,eICU,state_xgboost,next_aki_progression,18776,0.1082765232211333,0.7379638785106954,0.2177207316821307,0.0904281061441693,0.0159286895377877,0.399299076198793,1.1366702055833229,0.1400129824876785,0.6045253320216429,0.7133130263393657,0.2038480676729142,0.9369263356083783,M-IV → eICU,AKI progression
MIMIC-IV,eICU,state_xgboost,next_aki_stage2_onset,12432,0.1571750321750321,0.6139110888476572,0.2205427327177253,0.1301651125426056,0.0182817940386863,0.3055911416641043,1.096600919135287,0.1651910364627838,0.4227226202661208,0.7365909524718458,0.2303402119353039,0.8724847388650238,M-IV → eICU,Stage-2 onset
MIMIC-IV,eICU,state_xgboost,next_aki_stage3_onset,15989,0.0103195947213709,0.6126507108496492,0.0239075702949985,0.0101912749472568,0.0046045518117081,-1.7552968220284304,0.5288277021622251,0.0089064088091254,0.3515151515151515,0.8437815975733064,0.0229249011857707,0.9920499294152612,M-IV → eICU,Stage-3 onset
MIMIC-IV,eICU,state_xgboost,hospital_death,18776,0.1245739241585002,0.7759188743588662,0.4004738139614087,0.0921821501480028,0.0084197797922042,0.0360484353304842,0.9764775704362698,0.1194107908010483,0.6421547669944421,0.7613311431526434,0.2768663594470046,0.9373080668114748,M-IV → eICU,Hospital death
MIMIC-IV,eICU,state_xgboost,icu_death,18774,0.077500798977309,0.8046673012120054,0.3720985792776787,0.0596771700301865,0.0059420703670193,-0.0144031270400538,0.988199793687791,0.0636241406202316,0.7168384879725086,0.7363589121773775,0.1859511499376002,0.9687048993543488,M-IV → eICU,ICU death
eICU,MIMIC-III,kdigo_lookup,next_aki_progression,20108,0.1643624428088323,0.5642266802187456,0.184132689691489,0.1347111955336674,0.0197090484148831,0.6266441912078095,1.2822589719663589,0.1612814640064152,0.994553706505295,0.1336666071534845,0.1842075767765075,0.9920494699646644,eICU → M-III,AKI progression
eICU,MIMIC-III,kdigo_lookup,next_aki_stage2_onset,17844,0.1842075767765075,0.5,0.1842075767765075,0.1508049207652171,0.0230168488412836,-0.3999739567797583,0.659715061568027,0.1611907279352238,1.0,0.0,0.1842075767765075,0.0,eICU → M-III,Stage-2 onset
eICU,MIMIC-III,kdigo_lookup,next_aki_stage3_onset,19389,0.0048481097529527,0.4438251558942069,0.0043719171756704,0.0048424669612452,0.0042258552662157,-0.2312033061835219,1.085084159442397,0.0090709742609871,1.0,0.0,0.0048481097529527,0.0,eICU → M-III,Stage-3 onset
