evaluation,source_database,target_database,endpoint,model,auroc_lo,auroc_hi,delta_vs_semantic_lo,delta_vs_semantic_hi
lodo,MIMIC-IV + eICU,MIMIC-III,next_aki_stage3,demographic,0.5808490704893777,0.6177906072776798,0.02196302595093039,0.06400678550314046
lodo,MIMIC-IV + eICU,MIMIC-III,next_aki_stage3,xgboost,0.6456518362944725,0.6844339257599271,-0.03481537070658431,-0.010277567827723712
lodo,MIMIC-IV + eICU,MIMIC-III,next_aki_stage3,random_transformer,0.6247231092369708,0.66209960663439,-0.014245811496223709,0.010149234657760476
lodo,MIMIC-IV + eICU,MIMIC-III,next_aki_stage3,semantic_transformer,0.6218694356836754,0.6631259137850835,,
lodo,MIMIC-IV + eICU,MIMIC-III,hospital_death,demographic,0.6112290817829737,0.6316279797464159,0.02482705982379621,0.03719047933568004
lodo,MIMIC-IV + eICU,MIMIC-III,hospital_death,xgboost,0.6386548262046214,0.6607704700487603,-0.0015392000231393365,0.007325447746169857
lodo,MIMIC-IV + eICU,MIMIC-III,hospital_death,random_transformer,0.6348434294553622,0.6593303454062336,-0.00019334053304998755,0.009884629083961005
lodo,MIMIC-IV + eICU,MIMIC-III,hospital_death,semantic_transformer,0.6411897505250458,0.6647902214209793,,
lodo,MIMIC-IV + eICU,MIMIC-III,icu_death,demographic,0.5193385245764152,0.5459465896402371,0.08515989862330046,0.11705596585607991
lodo,MIMIC-IV + eICU,MIMIC-III,icu_death,xgboost,0.6183516995496904,0.6446867386609133,-0.0028601004813564976,0.008514691629001805
lodo,MIMIC-IV + eICU,MIMIC-III,icu_death,random_transformer,0.6147968604304602,0.6419988607600485,-0.0016141891538879929,0.010718518143091164
lodo,MIMIC-IV + eICU,MIMIC-III,icu_death,semantic_transformer,0.6212536743527363,0.6464945012359877,,
lodo,MIMIC-III + eICU,MIMIC-IV,next_aki_progression,demographic,0.516000016307852,0.5319552474744208,0.00929674841042022,0.03294609065745033
lodo,MIMIC-III + eICU,MIMIC-IV,next_aki_progression,xgboost,0.5367872550072116,0.5553047738746717,-0.009907331490722588,0.0078583581817976
lodo,MIMIC-III + eICU,MIMIC-IV,next_aki_progression,random_transformer,0.5171150206814851,0.5348668216654496,0.008933679504493084,0.030000853547485284
lodo,MIMIC-III + eICU,MIMIC-IV,next_aki_progression,semantic_transformer,0.5362107244877262,0.5540011552432226,,
lodo,MIMIC-III + eICU,MIMIC-IV,next_aki_stage2plus,demographic,0.5136975072881681,0.52872013965873,0.023705033089947834,0.04053972111017263
lodo,MIMIC-III + eICU,MIMIC-IV,next_aki_stage2plus,xgboost,0.5572274526484041,0.5718773757315386,-0.01924763792461498,-0.003240934869810094
lodo,MIMIC-III + eICU,MIMIC-IV,next_aki_stage2plus,random_transformer,0.54408156162045,0.5593518376602502,-0.007738400400888412,0.008676033984287002
lodo,MIMIC-III + eICU,MIMIC-IV,next_aki_stage2plus,semantic_transformer,0.5455106126460063,0.5611258017560307,,
lodo,MIMIC-III + eICU,MIMIC-IV,next_aki_stage3,demographic,0.5726858456491025,0.6026709381273718,0.10149879934900441,0.13314829020451394
lodo,MIMIC-III + eICU,MIMIC-IV,next_aki_stage3,xgboost,0.6289411473960518,0.6624981491028111,0.04333707713043872,0.08008968164773819
lodo,MIMIC-III + eICU,MIMIC-IV,next_aki_stage3,random_transformer,0.5796779511216762,0.6168059536710456,0.0882167980061222,0.12552642485675214
lodo,MIMIC-III + eICU,MIMIC-IV,next_aki_stage3,semantic_transformer,0.6900055152259402,0.7225118712814806,,
lodo,MIMIC-III + eICU,MIMIC-IV,hospital_death,demographic,0.5904458277738546,0.6094492903571491,0.07119343974523415,0.09069935409266595
lodo,MIMIC-III + eICU,MIMIC-IV,hospital_death,xgboost,0.6554896736094639,0.6756790077888901,0.007971134276185851,0.02261480133601872
lodo,MIMIC-III + eICU,MIMIC-IV,hospital_death,random_transformer,0.6124538148856898,0.632440462065216,0.0496585157633798,0.06768401464697814
